% Model:              Untitled.mph
% Version:            COMSOL 5.5.0.292
% Date:               Jan 3 2022, 13:26
% Dimension:          3
% Nodes:              21479
% Expressions:        4
% Description:        表面
% X                       Y                        Z                        Color                    DeformX                  DeformY                  DeformZ
-0.04851473881663425      -0.06529392956856216     0.010108330297943599     1.8716820750461246E-9    -5.166461115006683E-10   1.794475707495858E-9     1.2699417595876272E-10
-0.048514721764346014     -0.06353093245825568     0.010108366803403778     1.848175857214254E-9     -4.472834622190703E-10   1.7919399001143365E-9    6.813881414572603E-11
-0.0487596548365826       -0.06529260895154608     0.009293285712236105     1.8454127380707314E-9    -5.069441559461333E-10   1.7700822644098774E-9    1.2395391807997704E-10
-0.04875965131906641      -0.06353012398785107     0.009293312779510773     1.8228509054755519E-9    -4.382253035509095E-10   1.7681842322530764E-9    6.533397073767255E-11
-0.04851471445622633      -0.061767935347949186    0.010108382448604845     1.8289339955079885E-9    -3.7755595384715865E-10  1.7894748798698543E-9    1.5189336856731187E-11
-0.04875965754571876      -0.061767639024156044    0.009293318986526324     1.8045613825571033E-9    -3.6914159206537205E-10  1.7663569872333147E-9    1.2619907919409831E-11
-0.04851471689227521      -0.060004938237642705    0.0101083772335468       1.8136167700495352E-9    -3.0746358638493344E-10  1.7870806467624105E-9    -3.185425590822185E-11
-0.04875457941268432      -0.0652923126277529      0.008479800673698218     1.8105856199231495E-9    -4.976737566607517E-10   1.7364714040488513E-9    1.23321457679841E-10
-0.04875458942994017      -0.06353033981066938     0.008479818302787373     1.78877879384603E-9      -4.29598701151902E-10    1.7352111471167708E-9    6.493692480826865E-11
-0.0484995125449394       -0.06529304059718265     0.007667875182329935     1.7672113117852987E-9    -4.888349136445232E-10   1.6936431264127795E-9    1.2509679475835457E-10
-0.048499512669747995     -0.05999515833337221     0.007667875434681681     1.7181708992302974E-9    -2.855342668045249E-10   1.6939629273139117E-9    -3.2726477481298763E-11
-0.04849951262814513      -0.061761119087975706    0.007667875350564432     1.729819364767839E-9     -3.5290118474377915E-10  1.6933836592752522E-9    1.3695657406736947E-11
-0.04875458945849632      -0.05999841830146241     0.008479818490634556     1.7593342570706142E-9    -2.9266572001428235E-10  1.734483238505908E-9     -3.4230100391167146E-11
-0.048754589444218246     -0.06176437905606591     0.008479818396710965     1.7718062049227391E-9    -3.6093222841271963E-10  1.7346108589421985E-9    1.2260600945959708E-11
-0.04849951258654226      -0.06352707984257917     0.007667875266447183     1.7460082943333663E-9    -4.2066806702377856E-10  1.693277058974875E-9     6.630341481995472E-11
-0.04875965753267205      -0.060001678269552564    0.009293319090256262     1.7911467829672481E-9    -2.999754932077519E-10   1.7655224783220743E-9    -3.393935986680818E-11
-0.04851471689227521      -0.05725706781259607     0.0101083772335468       1.797910239243736E-9     -1.9818867500495112E-10  1.784422194418322E-9     -9.507843890467239E-11
-0.048759657532672064     -0.057253807844505934    0.009293319090256238     1.7770421586476933E-9    -1.9262186571310283E-10  1.7639310105592207E-9    -9.65558928703135E-11
-0.048514716892275205     -0.054509197387549405    0.0101083772335468       1.7920811866949626E-9    -8.890050458045258E-11   1.7831789291760816E-9    -1.5467574643042363E-10
-0.04875965753267205      -0.05450593741945927     0.00929331909025621      1.7726515667108654E-9    -8.52549791739374E-11    1.7637547298982159E-9    -1.5554555040311952E-10
-0.048514716892275205     -0.05176132696250277     0.0101083772335468       1.7958642120540646E-9    2.040092488856225E-11    1.7833508510356906E-9    -2.1064617848547558E-10
-0.048754589458496325     -0.05725054787641576     0.008479818490634504     1.7466915137859806E-9    -1.8723337640496645E-10  1.7339587553242893E-9    -9.623898340172725E-11
-0.048499512669748        -0.0517216157071306      0.00766787543468168      1.709884710356313E-9     2.6473388069755703E-11   1.6965023988463651E-9    -2.1185960715277844E-10
-0.048499512669748        -0.054479463249211144    0.007667875434681681     1.7040722973893076E-9    -7.734108766558466E-11   1.6952535374468909E-9    -1.5490705168641887E-10
-0.048754589458496325     -0.051734852792254676    0.00847981849063452      1.7480560675200808E-9    2.430152533749541E-11    1.7350001816416548E-9    -2.1185802029534877E-10
-0.048754589458496325     -0.05449270033433522     0.00847981849063451      1.7431294648565635E-9    -8.13718875890256E-11    1.734278283038644E-9     -1.5542774572727153E-10
-0.048499512669748        -0.05723731079129168     0.00766787543468168      1.7067404712623712E-9    -1.8134363929034482E-10  1.694407046936073E-9     -9.519600846259229E-11
-0.04875965753267206      -0.05174808987737872     0.009293319090256226     1.7767181278123744E-9    2.2277370943764262E-11   1.7639496657047634E-9    -2.1145354407291453E-10
-0.048499512669748        -0.04344538320562743     0.007667875434681681     1.7778684473727632E-9    3.3783689789226536E-10   1.6937580333639922E-9    -4.2174182979770023E-10
-0.048499512669748        -0.046204127372795153    0.007667875434681681     1.744264740477004E-9     2.338121912224314E-10    1.6943909866830393E-9    -3.4180481031482093E-10
-0.048754589458496304     -0.04346860144873633     0.008479818490632321     1.8184488026115855E-9    3.3966980129975227E-10   1.736137584665064E-9     -4.209593340429123E-10
-0.048754589458496325     -0.04622734561590407     0.008479818490632353     1.7842140840702708E-9    2.343789194344369E-10    1.7355456690765554E-9    -3.4112702981304787E-10
-0.048499512669748        -0.04896287153996288     0.00766787543468168      1.7218789743266116E-9    1.300243546149282E-10    1.6953057751771634E-9    -2.7184406943318033E-10
-0.04875458945849631      -0.04898608978307179     0.00847981849063238      1.7610665625149343E-9    1.2932490763145225E-10   1.7352355886631242E-9    -2.71271004184422E-10
